Country Name,Country Code,Series Name,Series Code,2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Albania,ALB,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,3736.34007957648,3780.69919254096,3855.76074409659,3952.80357364813,4090.37272829183,4249.8200493985,4431.55559506989,4542.26866282892,4417.04105105395,4858.05201500931,5154.8274975368,5419.63779125273
Algeria,DZA,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,6.00050974,6.03576279,6.54721403,6.96321011,6.58904791,6.53307724,6.38729763,5.86751413,6.14268684,5.5283432,..,..
Algeria,DZA,Government Effectiveness: Estimate,GE.EST,-0.447385340929031,-0.431544005870819,-0.339864790439606,-0.410829484462738,-0.464708805084229,-0.537024140357971,-0.488536387681961,-0.567920982837677,-0.573643207550049,-0.65274578332901,-0.51349949836731,-0.670135140419006
Algeria,DZA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,7.0295090675354,6.65906047821045,6.54889822006226,6.17633008956909,6.50210857391357,5.73482370376587,5.81275129318237,5.57536554336548,6.1939172744751,5.51403284072876,4.74924659729004,5.61015701293945
Algeria,DZA,Human capital index (HCI) (scale 0-1),HD.HCI.OVRL,..,..,..,..,..,0.523,0.531993925571442,..,0.534556448459625,..,..,..
Algeria,DZA,"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,73,68,72,75,70,70,69,61,58,54,51,47
Algeria,DZA,"Incidence of HIV, all (per 1,000 uninfected population)",SH.HIV.INCD.TL.P3,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,..
Algeria,DZA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.202,74.615,75.11,75.622,75.732,75.743,76.066,76.474,74.453,76.377,77.129,..
Algeria,DZA,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,4.46107862007699,4.84450891704059,5.54848333584853,6.27024285623508,6.38492898301865,5.92438332688534,5.48358870056161,5.99969025937654,6.69246839735744,5.58544666775166,4.77943828648395,..
Algeria,DZA,Multidimensional poverty headcount ratio (World Bank) (% of population),SI.POV.MPWB,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-1.32504332065582,-1.20237147808075,-1.19053518772125,-1.09078657627106,-1.09974193572998,-0.919614315032959,-0.842107713222504,-1.05585384368896,-0.847820401191711,-0.992457151412964,-0.650652348995209,-0.577885270118713
Algeria,DZA,Rule of Law: Estimate,RL.EST,-0.812617719173431,-0.69340193271637,-0.804650962352753,-0.941968441009521,-0.916658818721771,-0.925012648105621,-0.806978523731232,-0.861034154891968,-0.798027575016022,-0.833022832870483,-0.833259999752045,-0.678364396095276
Algeria,DZA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,4518.4397895726,4543.23444004859,4634.10149183949,4685.05902729002,4768.73140080218,4742.90075536604,4717.00358853556,4672.66408682198,4363.68533766912,4456.74687641147,4544.46688059647,4660.40545686886
American Samoa,ASM,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,Government Effectiveness: Estimate,GE.EST,0.48122963309288,0.486766904592514,0.438561886548996,0.442817568778992,0.482561141252518,0.510476231575012,0.498675554990768,0.489976644515991,0.63264924287796,0.638740062713623,0.66762912273407,0.654167771339417
American Samoa,ASM,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,Human capital index (HCI) (scale 0-1),HD.HCI.OVRL,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,7.2,7,6.8,8.7,6.4,11,0,2.3,6.9,5.1,4.8,4.5
American Samoa,ASM,"Incidence of HIV, all (per 1,000 uninfected population)",SH.HIV.INCD.TL.P3,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,Multidimensional poverty headcount ratio (World Bank) (% of population),SI.POV.MPWB,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.952990829944611,0.928985774517059,1.08068346977234,1.15167808532715,1.15855598449707,1.18432366847992,1.16629731655121,1.1449339389801,1.09020864963531,1.0668408870697,1.12317395210266,1.11422121524811
American Samoa,ASM,Rule of Law: Estimate,RL.EST,1.09636723995209,1.10143828392029,1.40731287002563,1.28552782535553,1.27915823459625,1.29530119895935,1.29659616947174,1.26820170879364,1.118488073349,1.13875997066498,1.22111594676971,1.21249115467072
American Samoa,ASM,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,12068.2667374983,11871.7937192729,12203.0894714284,12727.4102651386,12665.2829921268,11930.7771236826,12412.6024074562,12524.0160252283,13194.274740128,13233.5784817341,13709.0974895473,..
Andorra,AND,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,6.71083689,6.79964209,6.77308035,6.91586447,6.90521765,7.07142639,7.37541723,7.323246,8.78673935,8.33449364,..,..
Andorra,AND,Government Effectiveness: Estimate,GE.EST,1.52334606647491,1.53249549865723,1.71216595172882,1.74073541164398,1.80540561676025,1.87694644927979,1.87921941280365,1.85192060470581,1.7492413520813,1.74892807006836,1.49526071548462,1.4754387140274
Andorra,AND,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2.56577897071838,2.50616002082825,3.07420992851257,3.28034996986389,3.23707008361816,3.21708989143372,3.2467200756073,3.15060997009277,2.63213038444519,2.58397221565247,2.64728999137878,1.92790997028351
Andorra,AND,Human capital index (HCI) (scale 0-1),HD.HCI.OVRL,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,13,7.6,9.4,6.4,6.4,1.6,3.1,7.5,3,2.9,5.8,5.7
Andorra,AND,"Incidence of HIV, all (per 1,000 uninfected population)",SH.HIV.INCD.TL.P3,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Multidimensional poverty headcount ratio (World Bank) (% of population),SI.POV.MPWB,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.29035115242004,1.28392601013184,1.28659331798553,1.36598539352417,1.38275027275085,1.39288973808289,1.39124858379364,1.57736670970917,1.58867537975311,1.58125936985016,1.58598840236664,1.58346593379974
Andorra,AND,Rule of Law: Estimate,RL.EST,1.40118777751923,1.40161538124084,1.63860523700714,1.51319181919098,1.51293611526489,1.53556883335114,1.53650796413422,1.51021492481232,1.61518156528473,1.64205121994019,1.48548305034637,1.47689890861511
Andorra,AND,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,36206.9784343227,35684.169433471,37300.6244183478,38654.9347203095,40085.0205971586,39361.0622634329,39242.1448960772,39346.2750344286,34536.6499209948,36929.0191515162,39780.3966116268,40227.2335282714
Angola,AGO,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2.39574957,2.73282695,2.43412876,2.60579467,2.71314979,2.79383755,2.58879566,2.47517991,3.22070646,2.96010613,..,..
Angola,AGO,Government Effectiveness: Estimate,GE.EST,-0.988945424556732,-1.24288654327393,-1.05657386779785,-0.929087340831757,-0.971493542194366,-0.951988995075226,-1.00525164604187,-1.1284898519516,-1.25748455524445,-1.1263599395752,-1.02603423595428,-1.00890958309174
Angola,AGO,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.08191084861755,3.86999988555908,2.9300000667572,3.09999990463257,2.75493669509888,2.46687889099121,2.18351292610168,2.07306432723999,2.6674473285675,2.2971088886261,2.3321259021759,..
Angola,AGO,Human capital index (HCI) (scale 0-1),HD.HCI.OVRL,..,..,..,..,..,0.361,0.360190957784653,..,0.362405389547348,..,..,..
Angola,AGO,"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,380,376,370,366,362,359,355,351,328,324,336,339
Angola,AGO,"Incidence of HIV, all (per 1,000 uninfected population)",SH.HIV.INCD.TL.P3,1.13,1.01,0.87,0.81,0.77,0.73,0.67,0.59,0.54,0.48,0.44,..
Angola,AGO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,58.623,59.307,60.04,60.655,61.092,61.68,62.144,62.448,62.261,61.643,61.929,..
Angola,AGO,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,3.23665949921649,4.45523942155109,4.69845451564414,3.10542629308278,2.73333494465123,2.50798280550579,1.95578680987962,1.73907015919852,1.70017816092424,1.28992265308256,1.32872232786494,..
Angola,AGO,Multidimensional poverty headcount ratio (World Bank) (% of population),SI.POV.MPWB,..,..,..,..,..,..,47.2,..,..,..,..,..
Angola,AGO,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.389322549104691,-0.39123347401619,-0.333232045173645,-0.50538581609726,-0.321580082178116,-0.387895494699478,-0.347208589315414,-0.368411600589752,-0.599917888641357,-0.710480749607086,-0.630108535289764,-0.34150505065918
Angola,AGO,Rule of Law: Estimate,RL.EST,-1.30477690696716,-1.29094779491425,-1.07495403289795,-1.03065872192383,-1.00395023822784,-1.03998208045959,-1.00106203556061,-1.02354824542999,-0.951058804988861,-0.983753621578217,-1.02203571796417,-1.09906601905823
Angola,AGO,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,3236.57494513146,3268.63890723473,3300.73510980871,3213.90261080059,3020.98332805417,2911.60084214038,2775.74642272991,2664.43850995544,2433.37637275564,2385.44881834294,2382.02263952585,2332.88691268977
Antigua and Barbuda,ATG,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,5.47921467,5.50909233,5.87269926,5.27965546,5.12190151,4.87493944,4.84869289,4.37567186,5.92146206,5.85133028,..,..
Antigua and Barbuda,ATG,Government Effectiveness: Estimate,GE.EST,0.48122963309288,0.486766904592514,-0.0708797425031662,0.183234006166458,0.217992216348648,-0.0361118540167809,-0.0535420440137386,-0.0548009425401688,-0.204794809222221,-0.193900942802429,-0.160002663731575,0.380410820245743
Antigua and Barbuda,ATG,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2.35619330406189,2.64728999137878,2.54248762130737,2.1441957950592,2.25177478790283,2.36592817306519,2.34948754310608,2.30307745933533,2.99340319633484,2.5746488571167,3.6477484703064,..
Antigua and Barbuda,ATG,Human capital index (HCI) (scale 0-1),HD.HCI.OVRL,..,..,..,..,..,..,0.578216969966888,..,0.595703899860382,..,..,..
Antigua and Barbuda,ATG,"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,4,13,3.9,4.3,3.8,1.3,6.3,0,2.5,5,1.2,1.2
Antigua and Barbuda,ATG,"Incidence of HIV, all (per 1,000 uninfected population)",SH.HIV.INCD.TL.P3,..,..,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.35,77.583,77.858,77.913,78.152,78.268,78.511,78.691,78.841,78.497,79.236,..
Antigua and Barbuda,ATG,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,Multidimensional poverty headcount ratio (World Bank) (% of population),SI.POV.MPWB,..,..,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.975788056850433,0.958863377571106,0.984550714492798,0.987564265727997,0.859249651432037,0.73206090927124,0.823102116584778,0.938079655170441,0.929578840732574,0.949669897556305,0.938082098960876,0.923393249511719
Antigua and Barbuda,ATG,Rule of Law: Estimate,RL.EST,0.945719003677368,0.831786811351776,-0.175784200429916,0.553076863288879,0.472716420888901,0.40701898932457,0.376433491706848,0.363515615463257,0.407381147146225,0.303150534629822,0.390787124633789,0.378593176603317
Antigua and Barbuda,ATG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,15986.5855542187,15745.4753067356,15966.5831000524,16080.6580495873,16635.7318893628,16951.5063540798,18038.8532949834,18508.9783729509,14935.6150238496,16071.0843222933,17507.3892241095,18090.7735177058
Argentina,ARG,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,9.82726669,9.78097916,9.67129993,10.22933674,9.85558891,10.23174763,10.29146862,10.04194355,10.34701538,9.70880699,..,..
Argentina,ARG,Government Effectiveness: Estimate,GE.EST,-0.206967011094093,-0.254236966371536,-0.111114293336868,-0.0494756102561951,0.218796372413635,0.135085612535477,0.0280606187880039,-0.120795331895351,-0.254261821508408,-0.390557259321213,-0.28348970413208,-0.377517342567444
Argentina,ARG,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,5.34582996368408,5.43661022186279,5.36144018173218,5.77611017227173,5.54548978805542,5.45431995391846,4.87773990631104,4.7716498374939,5.27689981460571,4.64117002487183,4.80521011352539,..
Argentina,ARG,Human capital index (HCI) (scale 0-1),HD.HCI.OVRL,..,..,..,..,..,0.611,0.61736673116684,..,0.602144718170166,..,..,..
Argentina,ARG,"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,24,24,25,26,27,27,27,29,28,29,29,35
Argentina,ARG,"Incidence of HIV, all (per 1,000 uninfected population)",SH.HIV.INCD.TL.P3,0.13,0.12,0.12,0.12,0.11,0.11,0.11,0.1,0.1,0.09,0.09,..
Argentina,ARG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.467,76.491,76.755,76.76,76.308,76.833,76.999,77.284,75.892,75.39,76.064,..
Argentina,ARG,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,0.784824721019786,0.837736430159436,0.878100919364039,0.850128583186764,0.813140077928875,0.856137916373543,0.732300347538541,0.699696134379197,0.734492612232545,0.630928835372215,0.411211298762518,..
Argentina,ARG,Multidimensional poverty headcount ratio (World Bank) (% of population),SI.POV.MPWB,0.7,0.7,0.6,..,0.7,0.6,1.1,1.1,1.2,0.9,0.6,..
Argentina,ARG,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.103040546178818,0.0653142631053925,-0.00512187136337161,0.00876413471996784,0.197749897837639,0.162542164325714,0.00690981233492494,-0.0978230908513069,-0.0719974040985107,0.000530058634467423,-0.0985943302512169,-0.127517908811569
Argentina,ARG,Rule of Law: Estimate,RL.EST,-0.623034238815308,-0.656328618526459,-0.866627335548401,-0.74863588809967,-0.320159524679184,-0.237312033772469,-0.219330430030823,-0.427360445261002,-0.486265957355499,-0.477947890758514,-0.482351809740067,-0.410826534032822
Argentina,ARG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,13754.4254235596,13946.0950832252,13456.1319159151,13679.6264980954,13265.8860639123,13520.1129846159,13058.3285449954,12706.3978108968,11393.0505957877,12549.2811699342,13182.7933950725,12933.2497342121
Armenia,ARM,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,9.13,10.32,10.18,10.12,9.95,10.36,10.01,11.38,12.24,12.34,..,..
Armenia,ARM,Government Effectiveness: Estimate,GE.EST,-0.0323866233229637,0.0783172845840454,-0.257329761981964,-0.331789612770081,-0.31255441904068,-0.251550018787384,-0.170582666993141,-0.226045966148376,-0.304547429084778,-0.282197445631027,-0.314792364835739,-0.184129968285561
Armenia,ARM,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2.77248001098633,2.65018010139465,2.24724006652832,2.80591011047363,2.75812005996704,2.70759010314941,2.25586795806885,2.57191228866577,2.70555996894836,2.76784992218018,2.4918999671936,0.242599993944168
Armenia,ARM,Human capital index (HCI) (scale 0-1),HD.HCI.OVRL,..,..,..,..,..,0.572,0.58172595500946,..,0.578998804092407,..,..,..
Armenia,ARM,"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,53,60,57,50,44,36,31,26,25,25,25,25
Armenia,ARM,"Incidence of HIV, all (per 1,000 uninfected population)",SH.HIV.INCD.TL.P3,0.15,0.16,0.17,0.17,0.18,0.18,0.18,0.18,0.18,0.19,0.19,..
Armenia,ARM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.454,73.676,74.058,74.436,74.664,74.906,75.064,75.439,72.173,72.043,73.372,..
Armenia,ARM,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,3.58376691873744,3.99724455730484,3.94337826474581,4.23922578573229,4.09034921699325,3.84973057654684,4.11988615256896,4.78770584078564,4.98254372367497,4.47078156298276,4.31710667230517,..
Armenia,ARM,Multidimensional poverty headcount ratio (World Bank) (% of population),SI.POV.MPWB,..,..,1.5,1.2,1.1,0.8,1.3,1,0.4,0.5,0.8,..
Armenia,ARM,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.154794976115227,0.11038514226675,-0.297135800123215,-0.256798654794693,-0.667951107025146,-0.626211166381836,-0.451066911220551,-0.420024991035461,-0.77164489030838,-0.804041028022766,-0.740756273269653,-0.829278230667114
Armenia,ARM,Rule of Law: Estimate,RL.EST,-0.418281972408295,-0.340888947248459,-0.417726755142212,-0.462551325559616,-0.160894498229027,-0.209393918514252,-0.197214365005493,-0.177464514970779,-0.125831425189972,-0.119838461279869,-0.169515803456306,-0.122017979621887
Armenia,ARM,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,3159.75860786889,3266.29882999873,3393.09252326884,3512.39350276709,3533.88503607007,3815.3747426037,4027.83393010979,4343.45839583019,4032.09043454955,4264.79961505187,4791.00481712183,5151.01273118105
Aruba,ABW,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,Government Effectiveness: Estimate,GE.EST,1.24758815765381,1.22108125686646,0.887494266033173,0.847599267959595,0.852905750274658,0.875969707965851,1.01341271400452,0.987693905830383,1.07495975494385,1.08387625217438,1.10521340370178,0.795440852642059
Aruba,ABW,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,6.3472900390625,6.44295978546143,4.85704946517944,5.88826990127563,5.49136018753052,4.45618057250977,4.54875898361206,4.43504333496094,..,..,..,..
Aruba,ABW,Human capital index (HCI) (scale 0-1),HD.HCI.OVRL,..,..,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,32,12,2.2,9.9,15,8.7,5.4,2.1,1.1,6.4,5.3,3.6
Aruba,ABW,"Incidence of HIV, all (per 1,000 uninfected population)",SH.HIV.INCD.TL.P3,..,..,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.531,75.636,75.601,75.683,75.617,75.903,76.072,76.248,75.723,74.626,74.992,..
Aruba,ABW,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,Multidimensional poverty headcount ratio (World Bank) (% of population),SI.POV.MPWB,..,..,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.26388156414032,1.31222629547119,1.16456782817841,1.21023952960968,1.26075851917267,1.31384599208832,1.33750987052917,1.33580732345581,1.3715912103653,1.43172669410706,1.48307979106903,1.43252456188202
Aruba,ABW,Rule of Law: Estimate,RL.EST,1.30978834629059,1.29263317584991,1.0364248752594,1.22713792324066,1.2266480922699,1.29584264755249,1.25965404510498,1.22834599018097,1.27059960365295,1.24666583538055,1.27802610397339,1.27020680904388
Aruba,ABW,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,27341.2274279996,28668.7204196265,27914.8433440348,27458.2253310273,27719.5007310796,29671.13582858,30334.1159488227,29576.8099423267,21947.9953301189,27469.0056215511,29917.1280287045,31178.473678762
Australia,AUS,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,8.67456913,8.75058746,9.83354282,10.18225861,10.09288597,10.12281322,10.05971909,10.21965981,10.6837368,10.54363918,..,..
Australia,AUS,Government Effectiveness: Estimate,GE.EST,1.61314845085144,1.632453083992,1.60089492797852,1.53325247764587,1.53218841552734,1.49838602542877,1.55598998069763,1.53869080543518,1.57335329055786,1.47172200679779,1.52843272686005,1.58987963199615
Australia,AUS,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,5.55924797058105,5.5196270942688,5.4375524520874,5.46285820007324,5.43038558959961,5.32125568389893,5.40967607498169,5.50858879089355,5.37828016281128,5.33320999145508,5.20677661895752,..
Australia,AUS,Human capital index (HCI) (scale 0-1),HD.HCI.OVRL,..,..,..,..,..,0.803,0.780833959579468,..,0.770239531993866,..,..,..
Australia,AUS,"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,6.6,6.2,6.5,6,6.5,6.7,6.6,6.8,7.2,6.5,5.6,6.2
Australia,AUS,"Incidence of HIV, all (per 1,000 uninfected population)",SH.HIV.INCD.TL.P3,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.03,0.02,0.01,..,..
Australia,AUS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,82.0463414634146,82.1487804878049,82.3,82.4,82.4487804878049,82.5,82.7487804878049,82.9,83.2,83.3,83.2,..
Australia,AUS,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.67096396538491,1.63918019954461,1.77305887756791,1.9536335918401,2.0885308793071,2.00423407657625,1.89567007851003,1.88104345418486,2.01064009885885,1.98912270035816,1.89882434777792,..
Australia,AUS,Multidimensional poverty headcount ratio (World Bank) (% of population),SI.POV.MPWB,..,..,2.6,..,2,..,2.2,..,..,..,..,..
Australia,AUS,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.997997224330902,1.03107297420502,1.03219199180603,0.873180687427521,1.0334244966507,0.87606406211853,0.971185445785522,0.917978942394257,0.862161874771118,0.83507913351059,0.983715951442719,0.91705721616745
