"Diagnosis outputs (Group: Pulmonary TB: HIV-negative, Children aged < 15 years; Mode: DiagPatient; Severity: undefined)"
"","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"    TP:FP","7.112145","7.112145","7.112145","7.112145","7.112145","7.112145","7.112145","7.112145","7.112145","7.112145","7.112145","7.112145","7.112145","7.112145","7.112145","7.112145"
"Number of true positive cases missed","57774.49638","59351.828472","60762.23952","61837.384665","62408.114346","62316.651438","61389.636015","59463.721053","56568.907451","57883.166779","60699.181342","62804.405082","65472.466956","67632.568684","70125.339835","72929.548816"
"Number evaluated to confirm one TB case","10.61774","10.61774","10.61774","10.61774","10.61774","10.61774","10.61774","10.61774","10.61774","10.61774","10.61774","10.61774","10.61774","10.61774","10.61774","10.61774"



"Diagnosis outputs (Group: Pulmonary TB: HIV-positive not on ART, Children aged 0-9 years; Mode: DiagPatient; Severity: undefined)"
"","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"Number received diagnostic evaluation","44.264334","45.473","46.553762","47.377699","47.815303","47.745334","47.035224","45.560093","43.342442","44.349529","46.507184","48.12026","50.164552","51.819666","53.729649","55.878236"
"Number diagnosed with TB","20.346197","20.901763","21.398538","21.777262","21.978408","21.946246","21.619843","20.941796","19.922448","20.385357","21.377128","22.118582","23.058246","23.819022","24.69695","25.684553"
"    # True positives","19.722648","20.261187","20.742737","21.109855","21.304836","21.27366","20.95726","20.299993","19.311885","19.760607","20.721983","21.440714","22.35158","23.089041","23.940063","24.897398"
"    # False positives","0.62355","0.640576","0.655801","0.667408","0.673572","0.672586","0.662583","0.641803","0.610563","0.62475","0.655145","0.677868","0.706666","0.729981","0.756887","0.787154"
"    True cases found (%)","96.935301","96.935301","96.935301","96.935301","96.935301","96.935301","96.935301","96.935301","96.935301","96.935301","96.935301","96.935301","96.935301","96.935301","96.935301","96.935301"
"    TP:FP","31.62963","31.62963","31.62963","31.62963","31.62963","31.62963","31.62963","31.62963","31.62963","31.62963","31.62963","31.62963","31.62963","31.62963","31.62963","31.62963"
"Number of true positive cases missed","3.756695","3.859274","3.950998","4.020925","4.058064","4.052126","3.991859","3.866665","3.678454","3.763925","3.947044","4.083946","4.257444","4.397913","4.560012","4.742362"
"Number evaluated to confirm one TB case","18.917896","18.917896","18.917896","18.917896","18.917896","18.917896","18.917896","18.917896","18.917896","18.917896","18.917896","18.917896","18.917896","18.917896","18.917896","18.917896"



"Diagnosis outputs (Group: Pulmonary TB: HIV-positive not on ART, Children aged 10-14 years; Mode: DiagPatient; Severity: undefined)"
"","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"Number received diagnostic evaluation","49.638806","50.994226","52.206212","53.130189","53.620926","53.542461","52.746131","51.091893","48.60498","49.734345","52.153978","53.96291","56.255416","58.111489","60.253379","62.662842"
"Number diagnosed with TB","10.173099","10.450882","10.699269","10.888631","10.989204","10.973123","10.809921","10.470898","9.961224","10.192679","10.688564","11.059291","11.529123","11.909511","12.348475","12.842276"
"    # True positives","9.005562","9.251464","9.471345","9.638975","9.728005","9.71377","9.569298","9.269183","8.818003","9.022894","9.461869","9.790048","10.205959","10.542691","10.931276","11.368406"
"    # False positives","1.167537","1.199417","1.227924","1.249657","1.261199","1.259353","1.240623","1.201715","1.143221","1.169784","1.226695","1.269243","1.323164","1.36682","1.417199","1.473871"
"    True cases found (%)","88.52329","88.52329","88.52329","88.52329","88.52329","88.52329","88.52329","88.52329","88.52329","88.52329","88.52329","88.52329","88.52329","88.52329","88.52329","88.52329"
"    TP:FP","7.713299","7.713299","7.713299","7.713299","7.713299","7.713299","7.713299","7.713299","7.713299","7.713299","7.713299","7.713299","7.713299","7.713299","7.713299","7.713299"
"Number of true positive cases missed","1.715345","1.762184","1.804066","1.835995","1.852953","1.850242","1.822723","1.765559","1.67962","1.718647","1.802261","1.864771","1.943992","2.008132","2.082148","2.165411"
"Number evaluated to confirm one TB case","11.012003","11.012003","11.012003","11.012003","11.012003","11.012003","11.012003","11.012003","11.012003","11.012003","11.012003","11.012003","11.012003","11.012003","11.012003","11.012003"



"Diagnosis outputs (Group: Pulmonary TB: HIV-positive not on ART, Adults 15 years and above; Mode: DiagPatient; Severity: undefined)"
"","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"Number received diagnostic evaluation","1340.871765","1377.485139","1410.223996","1435.182989","1448.439053","1446.319513","1424.808605","1380.123379","1312.945468","1343.452517","1408.813009","1457.676929","1519.603396","1569.740714","1627.598647","1692.684443"
"Number diagnosed with TB","352.448643","362.072482","370.677903","377.238383","380.722744","380.165623","374.511472","362.765944","345.108205","353.126994","370.307024","383.150924","399.428319","412.606931","427.81491","444.922736"
"    # True positives","218.937033","224.915251","230.260839","234.336134","236.500579","236.154502","232.642209","225.346022","214.377238","219.358418","230.030454","238.008936","248.120266","256.306669","265.75369","276.380874"
"    # False positives","133.511609","137.157231","140.417063","142.902249","144.222165","144.011121","141.869264","137.419922","130.730967","133.768577","140.27657","145.141987","151.308052","156.300263","162.06122","168.541862"
"    True cases found (%)","62.118847","62.118847","62.118847","62.118847","62.118847","62.118847","62.118847","62.118847","62.118847","62.118847","62.118847","62.118847","62.118847","62.118847","62.118847","62.118847"
"    TP:FP","1.639835","1.639835","1.639835","1.639835","1.639835","1.639835","1.639835","1.639835","1.639835","1.639835","1.639835","1.639835","1.639835","1.639835","1.639835","1.639835"
"Number of true positive cases missed","70.662217","72.591695","74.316991","75.632297","76.330875","76.219178","75.085581","72.730727","69.190537","70.798219","74.242633","76.817699","80.081144","82.723316","85.772355","89.202293"
"Number evaluated to confirm one TB case","8.585976","8.585976","8.585976","8.585976","8.585976","8.585976","8.585976","8.585976","8.585976","8.585976","8.585976","8.585976","8.585976","8.585976","8.585976","8.585976"



"Diagnosis outputs (Group: Extra-Pulmonary TB: HIV-negative, Children aged < 15 years; Mode: DiagPatient; Severity: undefined)"
"","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"Number received diagnostic evaluation","43976.350528","45177.14875","46251.161904","47069.592834","47504.329538","47434.650668","46729.446568","45263.310503","43060.855901","44061.399847","46205.037019","47807.633825","49838.644818","51483.005429","53380.58015","55515.208089"
"Number diagnosed with TB","7722.024488","7932.878575","8121.469847","8265.182175","8341.519739","8329.284482","8205.454212","7948.008143","7561.268267","7736.958717","8113.370551","8394.778436","8751.413682","9040.15508","9373.359593","9748.189451"
"    # True positives","6639.872267","6821.177599","6983.33999","7106.9127","7172.55244","7162.031812","7055.55492","6834.186933","6501.644167","6652.713638","6976.375716","7218.347548","7525.004499","7773.282136","8059.791899","8382.093697"
"    # False positives","1082.152221","1111.700977","1138.129857","1158.269474","1168.967299","1167.25267","1149.899293","1113.82121","1059.6241","1084.24508","1136.994835","1176.430888","1226.409184","1266.872944","1313.567694","1366.095753"
"    True cases found (%)","85.986159","85.986159","85.986159","85.986159","85.986159","85.986159","85.986159","85.986159","85.986159","85.986159","85.986159","85.986159","85.986159","85.986159","85.986159","85.986159"
"    TP:FP","6.135802","6.135802","6.135802","6.135802","6.135802","6.135802","6.135802","6.135802","6.135802","6.135802","6.135802","6.135802","6.135802","6.135802","6.135802","6.135802"
"Number of true positive cases missed","1264.737575","1299.271924","1330.159998","1353.697657","1366.200465","1364.196536","1343.915223","1301.749892","1238.408413","1267.18355","1328.83347","1374.923342","1433.33419","1480.625169","1535.198457","1596.589276"
"Number evaluated to confirm one TB case","14.417532","14.417532","14.417532","14.417532","14.417532","14.417532","14.417532","14.417532","14.417532","14.417532","14.417532","14.417532","14.417532","14.417532","14.417532","14.417532"



"Diagnosis outputs (Group: Extra-Pulmonary TB: HIV-negative, Adults 15 years and above; Mode: DiagPatient; Severity: undefined)"
"","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"Number received diagnostic evaluation","473657.250098","486590.719487","498158.621583","506973.7174","511656.147599","510905.655532","503310.094946","487518.744175","463796.707727","474573.293061","497661.823056","514922.955162","536798.419363","554509.378004","574947.636599","597939.130601"
"Number diagnosed with TB","83171.814853","85442.866591","87474.131628","89022.01782","89844.228854","89712.446247","88378.704267","85605.823028","81440.353539","83332.667359","87386.896322","90417.863722","94259.084473","97369.039135","100957.89386","104995.083794"
"    # True positives","71516.249103","73469.039266","75215.646054","76546.613939","77253.601627","77140.286825","75993.453323","73609.159247","70027.432022","71654.559995","75140.635765","77746.848217","81049.766407","83723.896973","86809.815308","90281.239871"
"    # False positives","11655.565749","11973.827325","12258.485574","12475.403881","12590.627227","12572.159422","12385.250944","11996.663781","11412.921517","11678.107363","12246.260557","12671.015504","13209.318066","13645.142163","14148.078551","14713.843923"
"    True cases found (%)","85.986159","85.986159","85.986159","85.986159","85.986159","85.986159","85.986159","85.986159","85.986159","85.986159","85.986159","85.986159","85.986159","85.986159","85.986159","85.986159"
"    TP:FP","6.135802","6.135802","6.135802","6.135802","6.135802","6.135802","6.135802","6.135802","6.135802","6.135802","6.135802","6.135802","6.135802","6.135802","6.135802","6.135802"
"Number of true positive cases missed","13622.142686","13994.102717","14326.789725","14580.307417","14714.971739","14693.387967","14474.94349","14020.792238","13338.55848","13648.487618","14312.50205","14808.92347","15438.050744","15947.408947","16535.202916","17196.426642"
"Number evaluated to confirm one TB case","14.417532","14.417532","14.417532","14.417532","14.417532","14.417532","14.417532","14.417532","14.417532","14.417532","14.417532","14.417532","14.417532","14.417532","14.417532","14.417532"



"Diagnosis outputs (Group: Extra-Pulmonary TB: HIV-positive not on ART, Children aged 0-9 years; Mode: DiagPatient; Severity: undefined)"
"","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"Number received diagnostic evaluation","26.425669","27.147236","27.792617","28.284418","28.545654","28.503783","28.080022","27.199011","25.875542","26.476775","27.7649","28.727911","29.948359","30.936465","32.07673","33.359441"
"Number diagnosed with TB","4.640214","4.766917","4.880243","4.966601","5.012472","5.00512","4.93071","4.776009","4.543614","4.649188","4.875376","5.044476","5.25878","5.432287","5.632511","5.857749"
"    # True positives","3.989941","4.098889","4.196333","4.270589","4.310032","4.30371","4.239728","4.106706","3.906879","3.997658","4.192149","4.337551","4.521823","4.671015","4.84318","5.036853"
"    # False positives","0.650272","0.668028","0.683909","0.696011","0.70244","0.70141","0.690982","0.669302","0.636735","0.65153","0.683227","0.706925","0.736957","0.761272","0.789331","0.820896"
"    True cases found (%)","85.986159","85.986159","85.986159","85.986159","85.986159","85.986159","85.986159","85.986159","85.986159","85.986159","85.986159","85.986159","85.986159","85.986159","85.986159","85.986159"
"    TP:FP","6.135802","6.135802","6.135802","6.135802","6.135802","6.135802","6.135802","6.135802","6.135802","6.135802","6.135802","6.135802","6.135802","6.135802","6.135802","6.135802"
"Number of true positive cases missed","0.759989","0.780741","0.799302","0.813446","0.820959","0.819754","0.807567","0.78223","0.744167","0.761459","0.798504","0.8262","0.8613","0.889717","0.922511","0.959401"
"Number evaluated to confirm one TB case","14.417532","14.417532","14.417532","14.417532","14.417532","14.417532","14.417532","14.417532","14.417532","14.417532","14.417532","14.417532","14.417532","14.417532","14.417532","14.417532"



"Diagnosis outputs (Group: Extra-Pulmonary TB: HIV-positive not on ART, Children aged 10-14 years; Mode: DiagPatient; Severity: undefined)"
"","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"Number received diagnostic evaluation","13.212834","13.573618","13.896309","14.142209","14.272827","14.251892","14.040011","13.599506","12.937771","13.238388","13.88245","14.363956","14.974179","15.468233","16.038365","16.679721"
"Number diagnosed with TB","2.320107","2.383459","2.440121","2.4833","2.506236","2.50256","2.465355","2.388004","2.271807","2.324594","2.437688","2.522238","2.62939","2.716143","2.816256","2.928875"
"    # True positives","1.994971","2.049444","2.098167","2.135295","2.155016","2.151855","2.119864","2.053353","1.95344","1.998829","2.096074","2.168775","2.260912","2.335507","2.42159","2.518427"
"    # False positives","0.325136","0.334014","0.341955","0.348006","0.35122","0.350705","0.345491","0.334651","0.318367","0.325765","0.341614","0.353462","0.368479","0.380636","0.394666","0.410448"
"    True cases found (%)","85.986159","85.986159","85.986159","85.986159","85.986159","85.986159","85.986159","85.986159","85.986159","85.986159","85.986159","85.986159","85.986159","85.986159","85.986159","85.986159"
"    TP:FP","6.135802","6.135802","6.135802","6.135802","6.135802","6.135802","6.135802","6.135802","6.135802","6.135802","6.135802","6.135802","6.135802","6.135802","6.135802","6.135802"
"Number of true positive cases missed","0.379994","0.39037","0.399651","0.406723","0.410479","0.409877","0.403784","0.391115","0.372084","0.380729","0.399252","0.4131","0.43065","0.444859","0.461255","0.4797"
"Number evaluated to confirm one TB case","14.417532","14.417532","14.417532","14.417532","14.417532","14.417532","14.417532","14.417532","14.417532","14.417532","14.417532","14.417532","14.417532","14.417532","14.417532","14.417532"



"Diagnosis outputs (Group: Extra-Pulmonary TB: HIV-positive not on ART, Adults 15 years and above; Mode: DiagPatient; Severity: undefined)"
"","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"Number received diagnostic evaluation","457.760776","470.260183","481.439853","489.959105","494.484387","493.759082","486.418437","471.157062","448.231164","458.646075","480.959728","497.641557","518.782856","535.899414","555.651742","577.871615"
"Number diagnosed with TB","80.380474","82.575307","84.538401","86.034338","86.828955","86.701595","85.412615","82.732795","78.707123","80.535929","84.454093","87.383338","91.095643","94.101224","97.569632","101.47133"
"    # True positives","69.116083","71.003335","72.691324","73.977623","74.660883","74.551371","73.443027","71.138752","67.677232","69.249752","72.618831","75.137576","78.329644","80.914028","83.896379","87.251299"
"    # False positives","11.264392","11.571972","11.847077","12.056715","12.168071","12.150223","11.969588","11.594042","11.029891","11.286177","11.835262","12.245762","12.765998","13.187196","13.673253","14.220031"
"    True cases found (%)","85.986159","85.986159","85.986159","85.986159","85.986159","85.986159","85.986159","85.986159","85.986159","85.986159","85.986159","85.986159","85.986159","85.986159","85.986159","85.986159"
"    TP:FP","6.135802","6.135802","6.135802","6.135802","6.135802","6.135802","6.135802","6.135802","6.135802","6.135802","6.135802","6.135802","6.135802","6.135802","6.135802","6.135802"
"Number of true positive cases missed","13.164968","13.524445","13.845966","14.090976","14.221121","14.200261","13.989148","13.550239","12.890901","13.190429","13.832158","14.311919","14.919932","15.412196","15.980263","16.619295"
"Number evaluated to confirm one TB case","14.417532","14.417532","14.417532","14.417532","14.417532","14.417532","14.417532","14.417532","14.417532","14.417532","14.417532","14.417532","14.417532","14.417532","14.417532","14.417532"



"Diagnosis outputs (Group: Household contacts, aged 0 to 4 years; Mode: DiagHH; Severity: undefined)"
"","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"Number received diagnostic evaluation","65464.82879","67257.37239","68860.305757","70084.512119","70740.874701","70640.276729","69593.60143","67423.485726","64149.991898","65643.73697","68838.787911","71228.405758","75771.008895","78272.603958","81158.63526","84404.558827"
"Number diagnosed with TB","5113.40824","5253.422464","5378.626377","5474.248209","5525.516194","5517.658563","5435.903547","5266.397451","5010.707326","5127.382623","5376.945634","5563.596876","5918.41617","6113.813867","6339.239588","6592.776222"
"    # True positives","3266.110168","3355.542081","3435.514138","3496.591099","3529.337729","3524.318789","3472.099041","3363.829653","3200.511553","3275.036088","3434.440589","3553.661174","3780.296492","3905.103739","4049.090921","4211.033511"
"    # False positives","1847.298072","1897.880383","1943.112239","1977.65711","1996.178465","1993.339774","1963.804506","1902.567798","1810.195773","1852.346535","1942.505045","2009.935702","2138.119678","2208.710128","2290.148668","2381.742711"
"    True cases found (%)","63.873448","63.873448","63.873448","63.873448","63.873448","63.873448","63.873448","63.873448","63.873448","63.873448","63.873448","63.873448","63.873448","63.873448","63.873448","63.873448"
"    TP:FP","1.768047","1.768047","1.768047","1.768047","1.768047","1.768047","1.768047","1.768047","1.768047","1.768047","1.768047","1.768047","1.768047","1.768047","1.768047","1.768047"
"Number of true positive cases missed","622.116223","639.150873","654.383645","666.017352","672.254806","671.298817","661.352198","640.729458","609.621248","623.816398","654.17916","676.887843","720.056475","743.829284","771.255413","802.101621"
"Number evaluated to confirm one TB case","19.194624","19.194624","19.194624","19.194624","19.194624","19.194624","19.194624","19.194624","19.194624","19.194624","19.194624","19.194624","19.194624","19.194624","19.194624","19.194624"



"Diagnosis outputs (Group: Household contacts, aged 5 to 14 years; Mode: DiagHH; Severity: undefined)"
"","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"Number received diagnostic evaluation","43643.219193","44838.24826","45906.870505","46723.008079","47160.583134","47093.517819","46395.734287","44948.990484","42766.661265","43762.491313","45892.525274","47485.603839","50514.00593","52181.735972","54105.75684","56269.705885"
"Number diagnosed with TB","3408.938827","3502.281643","3585.750918","3649.498806","3683.677463","3678.439042","3623.935698","3510.931634","3340.47155","3418.255082","3584.630423","3709.064584","3945.61078","4075.875911","4226.159726","4395.184148"
"    # True positives","2177.406779","2237.028054","2290.342758","2331.060733","2352.891819","2349.545859","2314.732694","2242.553102","2133.674368","2183.357392","2289.62706","2369.107449","2520.197661","2603.402493","2699.393947","2807.355674"
"    # False positives","1231.532048","1265.253589","1295.408159","1318.438073","1330.785643","1328.893182","1309.203004","1268.378532","1206.797182","1234.89769","1295.003363","1339.957135","1425.413119","1472.473419","1526.765779","1587.828474"
"    True cases found (%)","63.873448","63.873448","63.873448","63.873448","63.873448","63.873448","63.873448","63.873448","63.873448","63.873448","63.873448","63.873448","63.873448","63.873448","63.873448","63.873448"
"    TP:FP","1.768047","1.768047","1.768047","1.768047","1.768047","1.768047","1.768047","1.768047","1.768047","1.768047","1.768047","1.768047","1.768047","1.768047","1.768047","1.768047"
"Number of true positive cases missed","414.744148","426.100582","436.255764","444.011568","448.16987","447.532545","440.901466","427.152972","406.414165","415.877599","436.11944","451.258562","480.03765","495.886189","514.170276","534.734414"
"Number evaluated to confirm one TB case","19.194624","19.194624","19.194624","19.194624","19.194624","19.194624","19.194624","19.194624","19.194624","19.194624","19.194624","19.194624","19.194624","19.194624","19.194624","19.194624"



"Diagnosis outputs (Group: Household contacts, aged 15 years and above; Mode: DiagHH; Severity: undefined)"
"","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"Number received diagnostic evaluation","174799.265021","179585.5802","183865.612389","187134.396195","188886.966225","188618.357083","185823.603376","180029.123545","171288.486383","175276.972195","183808.157052","190188.735009","198271.6914","204817.671077","212369.613647","220863.294347"
"Number diagnosed with TB","18724.250457","19236.953781","19695.424786","20045.572292","20233.305119","20204.532087","19905.162016","19284.465518","18348.180807","18775.421775","19689.270252","20372.748753","21238.583629","21939.779729","22748.733154","23658.564238"
"    # True positives","13979.541859","14362.326611","14704.621467","14966.041903","15106.203396","15084.721425","14861.211467","14397.798916","13698.767927","14017.74641","14700.026486","15210.312136","15856.745216","16380.258841","16984.22418","17663.504867"
"    # False positives","4744.708599","4874.62717","4990.803319","5079.530389","5127.101723","5119.810662","5043.950549","4886.666602","4649.41288","4757.675365","4989.243766","5162.436617","5381.838413","5559.520888","5764.508974","5995.059371"
"    True cases found (%)","74.660088","74.660088","74.660088","74.660088","74.660088","74.660088","74.660088","74.660088","74.660088","74.660088","74.660088","74.660088","74.660088","74.660088","74.660088","74.660088"
"    TP:FP","2.946344","2.946344","2.946344","2.946344","2.946344","2.946344","2.946344","2.946344","2.946344","2.946344","2.946344","2.946344","2.946344","2.946344","2.946344","2.946344"
"Number of true positive cases missed","2662.769878","2735.681259","2800.880279","2850.674648","2877.372075","2873.280271","2830.706946","2742.437889","2609.289129","2670.046935","2800.005045","2897.202312","3020.332422","3120.049303","3235.09032","3364.477117"
"Number evaluated to confirm one TB case","22.811227","22.811227","22.811227","22.811227","22.811227","22.811227","22.811227","22.811227","22.811227","22.811227","22.811227","22.811227","22.811227","22.811227","22.811227","22.811227"



"Diagnosis outputs (Group: HIV-positive patients evaluated for pulmonary TB, aged 0 to 9 years; Mode: DiagART; Severity: Patients without serious illness)"
"","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"Number received diagnostic evaluation","6.870819","10.426641","13.07581","22.377424","34.059101","50.676143","54.93174","62.572495","66.663792","68.188767","68.554907","68.53735","68.640375","68.89925","68.955559","68.294177"
"Number diagnosed with TB","0.634857","0.963412","1.208192","2.067653","3.147028","4.682427","5.07564","5.781639","6.159671","6.300577","6.334408","6.332786","6.342305","6.366225","6.371428","6.310317"
"    # True positives","0.444612","0.674709","0.846137","1.448046","2.203969","3.279259","3.55464","4.049074","4.313822","4.412503","4.436196","4.43506","4.441727","4.458479","4.462123","4.419324"
"    # False positives","0.190246","0.288702","0.362055","0.619607","0.94306","1.403168","1.521001","1.732565","1.845849","1.888074","1.898212","1.897725","1.900578","1.907746","1.909305","1.890992"
"    True cases found (%)","70.033322","70.033322","70.033322","70.033322","70.033322","70.033322","70.033322","70.033322","70.033322","70.033322","70.033322","70.033322","70.033322","70.033322","70.033322","70.033322"
"    TP:FP","2.33704","2.33704","2.33704","2.33704","2.33704","2.33704","2.33704","2.33704","2.33704","2.33704","2.33704","2.33704","2.33704","2.33704","2.33704","2.33704"
"Number of true positive cases missed","0.084688","0.128516","0.161169","0.275818","0.419804","0.624621","0.677074","0.771252","0.82168","0.840477","0.84499","0.844773","0.846043","0.849234","0.849928","0.841776"
"Number evaluated to confirm one TB case","167.848314","167.848314","167.848314","167.848314","167.848314","167.848314","167.848314","167.848314","167.848314","167.848314","167.848314","167.848314","167.848314","167.848314","167.848314","167.848314"



"Diagnosis outputs (Group: HIV-positive patients evaluated for pulmonary TB, aged 10 to 14 years; Mode: DiagART; Severity: Patients without serious illness)"
"","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"Number received diagnostic evaluation","75.525332","113.878993","146.497456","250.418629","390.859188","593.374326","668.771781","787.755349","896.719332","959.779883","1018.337275","1073.827475","1124.712852","1171.04838","1213.509932","1250.847504"
"Number diagnosed with TB","3.007727","4.535127","5.834127","9.972693","15.56561","23.630591","26.633226","31.371637","35.711029","38.222357","40.554352","42.764199","44.790662","46.635932","48.326925","49.81386"
"    # True positives","0.769448","1.160193","1.492508","2.55125","3.982051","6.045263","6.813408","8.025606","9.135724","9.778182","10.374761","10.940092","11.458509","11.930573","12.363169","12.743562"
"    # False positives","2.23828","3.374934","4.34162","7.421443","11.58356","17.585328","19.819817","23.346032","26.575304","28.444176","30.179591","31.824107","33.332153","34.70536","35.963756","37.070298"
"    True cases found (%)","25.582362","25.582362","25.582362","25.582362","25.582362","25.582362","25.582362","25.582362","25.582362","25.582362","25.582362","25.582362","25.582362","25.582362","25.582362","25.582362"
"    TP:FP","0.343767","0.343767","0.343767","0.343767","0.343767","0.343767","0.343767","0.343767","0.343767","0.343767","0.343767","0.343767","0.343767","0.343767","0.343767","0.343767"
"Number of true positive cases missed","0.146561","0.220989","0.284287","0.485952","0.758486","1.151479","1.297792","1.528687","1.740138","1.862511","1.976145","2.083827","2.182573","2.27249","2.354889","2.427345"
"Number evaluated to confirm one TB case","37.778745","37.778745","37.778745","37.778745","37.778745","37.778745","37.778745","37.778745","37.778745","37.778745","37.778745","37.778745","37.778745","37.778745","37.778745","37.778745"



"Diagnosis outputs (Group: HIV-positive patients evaluated for pulmonary TB, aged 15 years and above; Mode: DiagART; Severity: Patients without serious illness)"
"","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"Number received diagnostic evaluation","1470.095968","2392.933426","3221.442943","4181.181713","5733.877729","6033.452007","6566.919329","8553.145277","9489.21886","10259.468549","11015.827642","11752.053033","12473.71369","13177.996093","13859.638547","14521.385425"
"Number diagnosed with TB","58.54523","95.296389","128.291024","166.511744","228.346445","240.276717","261.521566","340.621201","377.899476","408.573967","438.695277","468.014781","496.754258","524.801661","551.94745","578.300915"
"    # True positives","14.977252","24.379067","32.819874","42.597637","58.416413","61.468459","66.903393","87.138948","96.675611","104.52287","112.228612","119.729234","127.081471","134.256659","141.201193","147.943032"
"    # False positives","43.567977","70.917322","95.47115","123.914107","169.930031","178.808258","194.618173","253.482253","281.223865","304.051097","326.466665","348.285547","369.672787","390.545002","410.746257","430.357883"
